MultiMax v1.0,,,
12/10/2012 11:49,,,
,,,
,,,
[DataSet27],,,
,,,
HomePosition,-1.3,in,
PurgePosition,-0.1,in,
StartPosition,0,in,
MaxHeight,0.2,in,
Target,500,psi,
Rate,10,psi / s,
Transition,80,%,
HoldingLoad,7,Ton,
,,,
Time,Height[in],Pressure[psi],Notes
4919,-0.358,67,
4929,-0.358,64,
4939,-0.358,66,
4949,-0.358,66,
4959,-0.358,69,
4969,-0.358,65,
4979,-0.358,70,
4989,-0.358,67,
4999,-0.358,66,
5009,-0.359,65,
5019,-0.358,65,
5029,-0.358,67,
5039,-0.358,66,
5049,-0.359,64,
5059,-0.359,67,
5069,-0.358,63,
5079,-0.358,64,
5089,-0.358,69,
5099,-0.358,66,
5109,-0.358,69,
5119,-0.359,65,
5129,-0.358,63,
5139,-0.358,71,
5149,-0.359,69,
5159,-0.358,71,
5169,-0.358,59,
5179,-0.359,67,
5189,-0.359,67,
5199,-0.359,69,
5209,-0.359,70,
5219,-0.358,69,
5229,-0.358,70,
5239,-0.358,69,
5249,-0.358,69,
5259,-0.359,70,
5269,-0.358,69,
5279,-0.359,68,
5289,-0.358,70,
5299,-0.359,70,
5309,-0.358,73,
5319,-0.359,65,
5329,-0.358,73,
5339,-0.358,73,
5349,-0.359,69,
5359,-0.358,71,
5369,-0.358,67,
5379,-0.359,70,
5389,-0.358,70,
5399,-0.358,73,
5409,-0.358,72,
5419,-0.358,72,
5429,-0.359,71,
5439,-0.359,76,
5449,-0.358,71,
5459,-0.359,70,
5469,-0.359,75,
5479,-0.359,75,
5489,-0.359,68,
5499,-0.359,72,
5509,-0.359,72,
5519,-0.359,72,
5529,-0.359,73,
5539,-0.358,74,
5549,-0.359,69,
5559,-0.359,73,
5569,-0.359,73,
5579,-0.359,73,
5589,-0.358,72,
5599,-0.359,72,
5609,-0.359,73,
5619,-0.359,74,
5629,-0.359,77,
5639,-0.358,70,
5649,-0.358,72,
5659,-0.358,73,
5669,-0.358,72,
5679,-0.359,76,
5689,-0.359,76,
5699,-0.359,72,
5709,-0.358,70,
5719,-0.359,76,
