MultiMax v1.0,,,
12/10/2012 11:49,,,
,,,
,,,
[DataSet27],,,
,,,
HomePosition,-1.3,in,
PurgePosition,-0.1,in,
StartPosition,0,in,
MaxHeight,0.2,in,
Target,500,psi,
Rate,10,psi / s,
Transition,80,%,
HoldingLoad,7,Ton,
,,,
Time,Height[in],Pressure[psi],Notes
24459,-0.361,260,
24469,-0.361,264,
24479,-0.361,267,
24489,-0.361,264,
24499,-0.361,264,
24509,-0.361,267,
24519,-0.361,260,
24529,-0.361,261,
24539,-0.361,268,
24549,-0.361,263,
24559,-0.361,265,
24569,-0.36,267,
24579,-0.361,265,
24589,-0.36,264,
24599,-0.36,267,
24609,-0.361,263,
24619,-0.361,265,
24629,-0.361,264,
24639,-0.361,266,
24649,-0.361,268,
24659,-0.361,268,
24669,-0.36,270,
24679,-0.361,266,
24689,-0.36,266,
24699,-0.361,266,
24709,-0.361,271,
24719,-0.361,265,
24729,-0.361,266,
24739,-0.361,265,
24749,-0.361,267,
24759,-0.361,263,
24769,-0.361,268,
24779,-0.361,263,
24789,-0.361,263,
24799,-0.361,263,
24809,-0.36,271,
24819,-0.361,271,
24829,-0.361,266,
24839,-0.361,267,
24849,-0.361,267,
24859,-0.361,271,
24869,-0.361,272,
24879,-0.361,266,
24889,-0.361,271,
24899,-0.361,266,
24909,-0.361,269,
24919,-0.361,266,
24929,-0.361,264,
24939,-0.361,271,
24949,-0.361,272,
24959,-0.361,274,
24969,-0.361,273,
24979,-0.361,269,
24989,-0.361,269,
24999,-0.361,272,
25009,-0.361,269,
25019,-0.361,272,
25029,-0.361,268,
25039,-0.36,270,
25049,-0.361,266,
25059,-0.361,266,
25069,-0.361,274,
25079,-0.361,270,
25089,-0.361,270,
25099,-0.361,270,
25109,-0.36,272,
25119,-0.361,271,
25129,-0.361,271,
25139,-0.361,270,
25149,-0.361,272,
25159,-0.361,271,
25169,-0.361,270,
25179,-0.361,272,
25189,-0.361,268,
25199,-0.361,269,
25209,-0.361,270,
25219,-0.361,274,
25229,-0.361,274,
25239,-0.36,273,
25249,-0.361,271,
25259,-0.36,273,
25269,-0.361,274,
25279,-0.36,271,
25289,-0.36,276,
25299,-0.361,276,
25309,-0.36,272,
25319,-0.361,275,
25329,-0.361,274,
25339,-0.36,271,
25349,-0.361,275,
25359,-0.361,268,
25369,-0.361,274,
25379,-0.361,269,
25389,-0.361,271,
25399,-0.361,274,
25409,-0.361,276,
25419,-0.361,273,
25429,-0.361,275,
25439,-0.361,273,
25449,-0.361,278,
25459,-0.361,273,
25469,-0.361,275,
25479,-0.36,275,
25489,-0.361,278,
25499,-0.361,278,
25509,-0.361,275,
25519,-0.361,280,
25529,-0.361,270,
25539,-0.36,279,
25549,-0.361,275,
25559,-0.36,272,
25569,-0.361,276,
25579,-0.361,272,
25589,-0.361,270,
25599,-0.361,281,
25609,-0.361,275,
25619,-0.361,275,
25629,-0.361,274,
25639,-0.361,273,
25649,-0.361,279,
25659,-0.361,274,
25669,-0.361,281,
25679,-0.36,282,
25689,-0.361,277,
25699,-0.36,275,
25709,-0.36,274,
25719,-0.361,277,
25729,-0.36,279,
25739,-0.361,279,
25749,-0.36,280,
25759,-0.361,274,
25769,-0.361,278,
25779,-0.361,278,
25789,-0.361,276,
25799,-0.361,277,
25809,-0.361,276,
25819,-0.361,279,
25829,-0.361,275,
25839,-0.361,276,
25849,-0.361,281,
25859,-0.361,281,
25869,-0.361,275,
25879,-0.36,275,
25889,-0.361,282,
25899,-0.361,283,
25909,-0.361,275,
25919,-0.361,276,
25929,-0.36,274,
25939,-0.36,279,
25949,-0.36,280,
25959,-0.361,277,
25969,-0.36,284,
25979,-0.36,278,
25989,-0.361,285,
25999,-0.361,279,
26009,-0.361,273,
26019,-0.361,282,
26029,-0.361,280,
26039,-0.361,280,
26049,-0.361,279,
26059,-0.361,282,
26069,-0.361,286,
26079,-0.361,278,
26089,-0.361,280,
26099,-0.361,281,
26109,-0.361,280,
26119,-0.36,283,
26129,-0.361,286,
26139,-0.361,276,
26149,-0.361,283,
26159,-0.361,280,
26169,-0.361,285,
26179,-0.361,283,
26189,-0.361,279,
26199,-0.36,285,
26209,-0.361,280,
26219,-0.361,283,
26229,-0.361,282,
26239,-0.361,279,
26249,-0.361,286,
26259,-0.361,284,
26269,-0.361,285,
26279,-0.361,283,
26289,-0.361,282,
26299,-0.361,282,
26309,-0.361,284,
26319,-0.36,279,
26329,-0.361,284,
26339,-0.361,284,
26349,-0.361,282,
26359,-0.361,284,
26369,-0.36,283,
26379,-0.361,284,
26389,-0.36,283,
26399,-0.361,284,
26409,-0.361,282,
26419,-0.361,282,
26429,-0.361,287,
26439,-0.361,280,
26449,-0.361,285,
26459,-0.361,282,
26469,-0.361,284,
26479,-0.361,286,
26489,-0.361,281,
26499,-0.361,282,
26509,-0.361,287,
26519,-0.361,284,
26529,-0.361,285,
26539,-0.361,284,
26549,-0.361,283,
26559,-0.361,285,
26569,-0.361,281,
26579,-0.361,289,
26589,-0.361,282,
26599,-0.361,287,
26609,-0.361,284,
26619,-0.361,285,
26629,-0.361,285,
26639,-0.361,283,
26649,-0.361,282,
26659,-0.361,283,
26669,-0.361,284,
26679,-0.361,291,
26689,-0.361,283,
26699,-0.361,286,
26709,-0.361,288,
26719,-0.361,289,
26729,-0.361,287,
26739,-0.361,284,
26749,-0.361,285,
26759,-0.361,286,
26769,-0.361,287,
26779,-0.361,289,
26789,-0.361,286,
26799,-0.361,289,
26809,-0.361,293,
26819,-0.361,288,
26829,-0.361,290,
26839,-0.361,286,
26849,-0.361,292,
26859,-0.361,292,
26869,-0.361,290,
26879,-0.361,289,
26889,-0.361,289,
26899,-0.361,292,
26909,-0.361,284,
26919,-0.361,289,
26929,-0.361,291,
26939,-0.361,287,
26949,-0.361,291,
26959,-0.361,287,
26969,-0.361,290,
26979,-0.361,293,
26989,-0.361,289,
26999,-0.361,289,
27009,-0.361,292,
27019,-0.361,290,
27029,-0.361,288,
27039,-0.361,288,
27049,-0.361,291,
27059,-0.361,290,
27069,-0.361,288,
27079,-0.361,288,
27089,-0.361,291,
27099,-0.361,289,
27109,-0.361,291,
27119,-0.361,288,
27129,-0.361,292,
27139,-0.361,288,
27149,-0.361,291,
27159,-0.361,293,
27169,-0.361,294,
27179,-0.361,296,
27189,-0.361,290,
27199,-0.361,290,
27209,-0.361,295,
27219,-0.361,294,
27229,-0.361,290,
27239,-0.361,292,
27249,-0.361,292,
27259,-0.361,294,
27269,-0.361,291,
27279,-0.361,296,
27289,-0.361,291,
27299,-0.361,293,
27309,-0.361,297,
27319,-0.361,292,
27329,-0.361,288,
27339,-0.361,288,
27349,-0.361,291,
27359,-0.361,300,
27369,-0.361,293,
27379,-0.361,295,
27389,-0.361,290,
27399,-0.361,295,
27409,-0.361,293,
27419,-0.361,293,
27429,-0.361,295,
27439,-0.361,291,
27449,-0.361,290,
27459,-0.361,297,
27469,-0.361,295,
27479,-0.36,296,
27489,-0.361,292,
27499,-0.361,291,
27509,-0.361,293,
27519,-0.361,299,
27529,-0.361,292,
27539,-0.361,297,
27549,-0.361,287,
27559,-0.361,298,
27569,-0.361,293,
27579,-0.361,290,
27589,-0.361,297,
27599,-0.361,298,
27609,-0.361,303,
27619,-0.361,294,
27629,-0.361,294,
27639,-0.361,297,
27649,-0.361,292,
27659,-0.361,300,
27669,-0.361,298,
27679,-0.361,294,
27689,-0.361,303,
27699,-0.361,296,
27709,-0.361,298,
27719,-0.361,293,
27729,-0.361,299,
27739,-0.361,303,
27749,-0.361,299,
27759,-0.361,299,
27769,-0.361,294,
27779,-0.361,299,
27789,-0.361,299,
27799,-0.361,294,
27809,-0.361,293,
27819,-0.361,301,
27829,-0.361,300,
27839,-0.361,299,
27849,-0.361,300,
27859,-0.361,293,
27869,-0.361,299,
27879,-0.361,301,
27889,-0.361,300,
27899,-0.361,299,
27909,-0.361,298,
27919,-0.361,301,
27929,-0.361,294,
27939,-0.361,299,
27949,-0.361,298,
27959,-0.361,303,
27969,-0.361,302,
27979,-0.361,300,
27989,-0.361,298,
27999,-0.361,299,
28009,-0.361,297,
28019,-0.361,297,
28029,-0.361,295,
28039,-0.361,301,
28049,-0.361,297,
28059,-0.361,304,
28069,-0.361,300,
28079,-0.361,299,
28089,-0.361,302,
28099,-0.361,299,
28109,-0.361,300,
28119,-0.361,301,
28129,-0.361,297,
28139,-0.361,302,
28149,-0.361,300,
28159,-0.361,304,
28169,-0.361,301,
28179,-0.361,298,
28189,-0.361,304,
28199,-0.361,299,
28209,-0.361,302,
28219,-0.361,303,
28229,-0.361,303,
28239,-0.361,302,
28249,-0.361,302,
28259,-0.361,303,
28269,-0.361,303,
28279,-0.361,301,
28289,-0.361,306,
28299,-0.361,300,
28309,-0.361,299,
28319,-0.361,301,
28329,-0.361,301,
28339,-0.361,303,
28349,-0.361,304,
28359,-0.361,308,
28369,-0.361,304,
28379,-0.362,302,
28389,-0.361,304,
28399,-0.361,301,
28409,-0.361,302,
28419,-0.361,305,
28429,-0.361,306,
28439,-0.361,307,
28449,-0.361,305,
28459,-0.361,308,
28469,-0.361,303,
28479,-0.361,303,
28489,-0.361,307,
28499,-0.361,306,
28509,-0.361,307,
28519,-0.361,306,
28529,-0.361,303,
28539,-0.361,302,
28549,-0.361,303,
28559,-0.361,306,
28569,-0.361,305,
28579,-0.361,307,
28589,-0.361,309,
28599,-0.361,305,
28609,-0.361,304,
28619,-0.361,309,
28629,-0.361,304,
28639,-0.361,306,
28649,-0.361,308,
28659,-0.361,311,
28669,-0.361,305,
28679,-0.361,306,
28689,-0.361,304,
28699,-0.361,305,
28709,-0.361,312,
28719,-0.361,316,
28729,-0.361,307,
28739,-0.361,304,
28749,-0.361,308,
28759,-0.361,308,
28769,-0.361,311,
28779,-0.361,306,
28789,-0.361,310,
28799,-0.361,308,
28809,-0.361,305,
28819,-0.361,311,
28829,-0.361,310,
28839,-0.361,311,
28849,-0.361,311,
28859,-0.361,307,
28869,-0.361,310,
28879,-0.361,309,
28889,-0.361,311,
28899,-0.361,309,
28909,-0.361,308,
28919,-0.361,307,
28929,-0.361,308,
28939,-0.361,310,
28949,-0.361,311,
28959,-0.361,309,
28969,-0.361,315,
28979,-0.361,308,
28989,-0.361,312,
28999,-0.361,314,
29009,-0.361,313,
29019,-0.361,313,
29029,-0.361,312,
29039,-0.361,311,
29049,-0.361,309,
29059,-0.361,313,
29069,-0.361,317,
29079,-0.361,313,
29089,-0.361,310,
29099,-0.361,310,
29109,-0.361,315,
29119,-0.361,308,
29129,-0.361,308,
29139,-0.361,310,
29149,-0.361,311,
29159,-0.361,308,
29169,-0.361,312,
29179,-0.361,309,
29189,-0.361,312,
29199,-0.361,311,
29209,-0.361,311,
29219,-0.361,317,
29229,-0.361,314,
29239,-0.361,318,
29249,-0.361,317,
29259,-0.361,313,
29269,-0.361,313,
29279,-0.361,315,
29289,-0.361,306,
29299,-0.361,317,
29309,-0.361,317,
29319,-0.361,312,
29329,-0.361,318,
29339,-0.361,314,
29349,-0.361,317,
29359,-0.361,314,
29369,-0.361,318,
29379,-0.361,312,
29389,-0.361,318,
29399,-0.361,316,
29409,-0.361,314,
29419,-0.361,316,
29429,-0.361,321,
29439,-0.361,316,
29449,-0.361,313,
29459,-0.361,314,
29469,-0.361,317,
29479,-0.362,315,
29489,-0.361,318,
29499,-0.362,319,
29509,-0.361,312,
29519,-0.361,320,
29529,-0.361,315,
29539,-0.361,317,
29549,-0.361,318,
29559,-0.361,318,
29569,-0.361,319,
29579,-0.361,313,
29589,-0.361,316,
29599,-0.361,319,
29609,-0.361,313,
29619,-0.361,318,
29629,-0.361,316,
29639,-0.361,316,
29649,-0.361,318,
29659,-0.361,318,
29669,-0.361,321,
29679,-0.361,318,
29689,-0.361,318,
29699,-0.361,318,
29709,-0.361,316,
29719,-0.361,319,
29729,-0.361,319,
29739,-0.361,319,
29749,-0.361,318,
29759,-0.361,322,
29769,-0.361,319,
29779,-0.362,317,
29789,-0.361,316,
29799,-0.361,320,
29809,-0.361,319,
29819,-0.361,318,
29829,-0.361,319,
29839,-0.361,320,
29849,-0.361,322,
29859,-0.361,321,
29869,-0.361,320,
29879,-0.361,322,
29889,-0.361,315,
29899,-0.361,321,
29909,-0.361,320,
29919,-0.361,322,
29929,-0.361,319,
29939,-0.361,316,
29949,-0.361,323,
29959,-0.361,320,
29969,-0.361,321,
29979,-0.361,324,
29989,-0.361,325,
29999,-0.362,322,
30009,-0.361,321,
30019,-0.361,322,
30029,-0.361,324,
30039,-0.361,322,
30049,-0.361,325,
30059,-0.361,316,
30069,-0.361,319,
30079,-0.361,324,
30089,-0.362,318,
30099,-0.362,319,
30109,-0.361,318,
30119,-0.362,322,
30129,-0.361,328,
30139,-0.361,323,
30149,-0.361,321,
30159,-0.361,324,
30169,-0.361,323,
30179,-0.361,326,
30189,-0.361,324,
30199,-0.361,326,
30209,-0.361,326,
30219,-0.361,320,
30229,-0.361,323,
30239,-0.361,319,
30249,-0.361,318,
30259,-0.361,324,
30269,-0.361,329,
30279,-0.361,327,
30289,-0.361,327,
30299,-0.361,326,
30309,-0.361,323,
30319,-0.361,324,
30329,-0.361,323,
30339,-0.361,326,
30349,-0.361,326,
30359,-0.361,324,
30369,-0.361,326,
30379,-0.361,322,
30389,-0.361,324,
30399,-0.361,325,
30409,-0.362,319,
30419,-0.361,327,
30429,-0.361,328,
30439,-0.361,319,
30449,-0.362,330,
30459,-0.361,327,
30469,-0.361,326,
30479,-0.361,328,
30489,-0.362,331,
30499,-0.361,328,
30509,-0.362,330,
30519,-0.361,325,
30529,-0.361,326,
30539,-0.361,327,
30549,-0.361,323,
30559,-0.361,331,
30569,-0.361,327,
30579,-0.361,330,
30589,-0.362,325,
30599,-0.362,329,
30609,-0.361,325,
30619,-0.361,324,
30629,-0.361,330,
30639,-0.362,328,
30649,-0.361,328,
30659,-0.362,326,
30669,-0.361,325,
30679,-0.361,331,
30689,-0.361,326,
30699,-0.361,325,
30709,-0.362,330,
30719,-0.361,326,
30729,-0.361,327,
30739,-0.361,328,
30749,-0.361,332,
30759,-0.361,337,
30769,-0.361,325,
30779,-0.361,329,
30789,-0.361,324,
30799,-0.361,331,
30809,-0.361,332,
30819,-0.361,331,
30829,-0.361,326,
30839,-0.361,329,
30849,-0.361,324,
30859,-0.362,333,
30869,-0.362,327,
30879,-0.361,324,
30889,-0.361,325,
30899,-0.361,330,
30909,-0.361,332,
30919,-0.361,332,
30929,-0.361,329,
30939,-0.362,331,
30949,-0.362,332,
30959,-0.362,334,
30969,-0.362,328,
30979,-0.361,333,
30989,-0.361,331,
30999,-0.362,329,
31009,-0.362,325,
31019,-0.361,329,
31029,-0.362,333,
31039,-0.361,334,
31049,-0.361,336,
31059,-0.361,334,
31069,-0.361,329,
31079,-0.361,333,
31089,-0.361,331,
31099,-0.361,327,
31109,-0.362,330,
31119,-0.362,333,
31129,-0.362,336,
31139,-0.361,339,
31149,-0.362,334,
31159,-0.361,334,
31169,-0.361,327,
31179,-0.361,333,
31189,-0.362,332,
31199,-0.361,330,
31209,-0.362,334,
31219,-0.361,332,
31229,-0.362,334,
31239,-0.361,330,
31249,-0.361,331,
31259,-0.362,336,
31269,-0.361,331,
31279,-0.361,335,
31289,-0.361,333,
31299,-0.361,335,
31309,-0.361,334,
31319,-0.361,336,
31329,-0.361,336,
31339,-0.361,334,
31349,-0.362,335,
31359,-0.361,334,
31369,-0.361,335,
31379,-0.361,332,
31389,-0.361,338,
31399,-0.362,336,
31409,-0.361,335,
31419,-0.361,333,
31429,-0.361,336,
31439,-0.361,335,
31449,-0.362,335,
31459,-0.361,340,
31469,-0.362,336,
31479,-0.361,336,
31489,-0.361,339,
31499,-0.362,336,
31509,-0.361,339,
31519,-0.361,336,
31529,-0.361,334,
31539,-0.361,332,
31549,-0.361,332,
31559,-0.361,336,
31569,-0.361,336,
31579,-0.361,335,
31589,-0.361,342,
31599,-0.361,340,
31609,-0.361,341,
31619,-0.361,338,
31629,-0.361,338,
31639,-0.361,334,
31649,-0.361,337,
31659,-0.361,338,
31669,-0.361,338,
31679,-0.361,340,
31689,-0.361,340,
31699,-0.362,334,
31709,-0.361,337,
31719,-0.362,336,
31729,-0.361,340,
31739,-0.361,339,
31749,-0.361,338,
31759,-0.361,338,
31769,-0.361,338,
31779,-0.361,337,
31789,-0.361,335,
31799,-0.362,335,
31809,-0.362,335,
31819,-0.362,339,
31829,-0.362,341,
31839,-0.362,344,
31849,-0.362,335,
31859,-0.361,343,
31869,-0.362,340,
31879,-0.362,338,
31889,-0.361,338,
31899,-0.362,337,
31909,-0.361,342,
31919,-0.362,342,
31929,-0.361,337,
31939,-0.362,340,
31949,-0.362,338,
31959,-0.361,338,
31969,-0.362,341,
31979,-0.361,336,
31989,-0.362,341,
31999,-0.362,336,
32009,-0.362,341,
32019,-0.362,342,
32029,-0.361,338,
32039,-0.362,338,
32049,-0.362,343,
32059,-0.361,343,
32069,-0.362,346,
32079,-0.362,337,
32089,-0.362,345,
32099,-0.362,341,
32109,-0.362,343,
32119,-0.361,340,
32129,-0.361,338,
32139,-0.362,343,
32149,-0.361,339,
32159,-0.362,343,
32169,-0.362,343,
32179,-0.362,348,
32189,-0.362,341,
32199,-0.362,341,
32209,-0.362,341,
32219,-0.362,344,
32229,-0.361,339,
32239,-0.361,347,
32249,-0.361,345,
32259,-0.362,344,
32269,-0.362,341,
32279,-0.362,343,
32289,-0.362,345,
32299,-0.361,344,
32309,-0.362,347,
32319,-0.362,349,
32329,-0.362,342,
32339,-0.362,345,
32349,-0.362,347,
32359,-0.362,343,
32369,-0.362,346,
32379,-0.362,342,
32389,-0.362,347,
32399,-0.361,345,
32409,-0.362,343,
32419,-0.362,343,
32429,-0.361,341,
32439,-0.362,349,
32449,-0.362,344,
32459,-0.362,347,
32469,-0.362,346,
32479,-0.362,342,
32489,-0.361,349,
32499,-0.362,343,
32509,-0.362,345,
32519,-0.362,346,
32529,-0.362,345,
32539,-0.362,348,
32549,-0.362,346,
32559,-0.362,346,
32569,-0.361,346,
32579,-0.362,344,
32589,-0.362,346,
32599,-0.362,343,
32609,-0.362,342,
32619,-0.361,346,
32629,-0.362,346,
32639,-0.361,345,
32649,-0.361,345,
32659,-0.362,340,
32669,-0.362,353,
32679,-0.362,346,
32689,-0.362,350,
32699,-0.362,349,
32709,-0.362,345,
32719,-0.362,348,
32729,-0.362,348,
32739,-0.362,350,
32749,-0.362,349,
32759,-0.362,346,
32769,-0.361,348,
32779,-0.362,353,
32789,-0.362,347,
32799,-0.362,349,
32809,-0.362,346,
32819,-0.361,349,
32829,-0.362,347,
32839,-0.362,351,
32849,-0.361,351,
32859,-0.362,345,
32869,-0.361,351,
32879,-0.362,350,
32889,-0.362,348,
32899,-0.362,352,
32909,-0.362,353,
32919,-0.362,354,
32929,-0.362,350,
32939,-0.362,350,
32949,-0.361,351,
32959,-0.362,349,
32969,-0.362,352,
32979,-0.362,353,
32989,-0.361,356,
32999,-0.362,357,
33009,-0.361,347,
33019,-0.362,349,
33029,-0.362,348,
33039,-0.362,350,
33049,-0.362,350,
33059,-0.362,348,
33069,-0.361,351,
33079,-0.362,354,
33089,-0.362,351,
33099,-0.362,355,
33109,-0.362,354,
33119,-0.362,353,
33129,-0.362,351,
33139,-0.362,353,
33149,-0.362,356,
33159,-0.362,348,
33169,-0.362,352,
33179,-0.362,352,
33189,-0.362,353,
33199,-0.362,358,
33209,-0.361,351,
33219,-0.362,350,
33229,-0.362,354,
33239,-0.362,352,
33249,-0.362,350,
33259,-0.362,351,
33269,-0.362,353,
33279,-0.362,352,
33289,-0.362,355,
33299,-0.362,356,
33309,-0.362,356,
33319,-0.362,353,
33329,-0.362,352,
33339,-0.362,351,
33349,-0.362,359,
33359,-0.362,358,
33369,-0.362,352,
33379,-0.362,358,
33389,-0.362,352,
33399,-0.362,358,
33409,-0.362,349,
33419,-0.362,353,
33429,-0.362,353,
33439,-0.362,352,
33449,-0.362,354,
33459,-0.362,355,
33469,-0.362,352,
33479,-0.362,351,
33489,-0.362,354,
33499,-0.362,354,
33509,-0.362,356,
33519,-0.362,353,
33529,-0.362,357,
33539,-0.362,355,
33549,-0.362,357,
33559,-0.362,353,
33569,-0.362,359,
33579,-0.362,358,
33589,-0.362,356,
33599,-0.362,354,
33609,-0.362,354,
33619,-0.362,355,
33629,-0.362,358,
33639,-0.362,358,
33649,-0.362,356,
33659,-0.362,360,
33669,-0.362,360,
33679,-0.362,355,
33689,-0.362,357,
33699,-0.362,353,
33709,-0.362,354,
33719,-0.362,361,
33729,-0.362,356,
33739,-0.362,357,
33749,-0.362,361,
33759,-0.362,359,
33769,-0.362,356,
33779,-0.362,352,
33789,-0.362,356,
33799,-0.362,359,
33809,-0.362,355,
33819,-0.362,355,
33829,-0.362,358,
33839,-0.362,356,
33849,-0.362,357,
33859,-0.362,359,
33869,-0.362,363,
33879,-0.362,361,
33889,-0.362,357,
33899,-0.362,360,
33909,-0.362,360,
33919,-0.362,359,
33929,-0.362,359,
33939,-0.362,360,
33949,-0.362,364,
33959,-0.362,360,
33969,-0.362,354,
33979,-0.362,359,
33989,-0.362,360,
33999,-0.362,364,
34009,-0.362,357,
34019,-0.362,362,
34029,-0.362,362,
34039,-0.362,360,
34049,-0.362,359,
34059,-0.362,363,
34069,-0.362,363,
34079,-0.362,359,
34089,-0.362,362,
34099,-0.362,369,
34109,-0.362,361,
34119,-0.362,360,
34129,-0.362,360,
34139,-0.362,360,
34149,-0.362,365,
34159,-0.362,361,
34169,-0.362,358,
34179,-0.362,366,
34189,-0.362,362,
34199,-0.362,361,
34209,-0.362,361,
34219,-0.362,359,
34229,-0.362,366,
34239,-0.362,361,
34249,-0.361,364,
34259,-0.362,362,
34269,-0.362,363,
34279,-0.362,365,
34289,-0.362,363,
34299,-0.361,364,
34309,-0.361,362,
34319,-0.362,361,
34329,-0.362,362,
34339,-0.362,363,
34349,-0.362,364,
34359,-0.362,363,
34369,-0.362,364,
34379,-0.362,362,
34389,-0.362,363,
34399,-0.362,364,
34409,-0.362,364,
34419,-0.362,362,
34429,-0.362,365,
34439,-0.362,365,
34449,-0.362,366,
34459,-0.362,369,
34469,-0.361,367,
34479,-0.361,366,
34489,-0.362,365,
34499,-0.362,363,
34509,-0.362,369,
34519,-0.362,364,
34529,-0.362,370,
34539,-0.362,362,
34549,-0.362,365,
34559,-0.362,365,
34569,-0.361,365,
34579,-0.362,362,
34589,-0.362,368,
34599,-0.362,361,
34609,-0.362,363,
34619,-0.362,365,
34629,-0.362,368,
34639,-0.362,366,
34649,-0.362,367,
34659,-0.362,367,
34669,-0.362,369,
34679,-0.362,369,
34689,-0.362,362,
34699,-0.362,368,
34709,-0.362,374,
34719,-0.362,370,
34729,-0.362,370,
34739,-0.361,368,
34749,-0.361,365,
34759,-0.361,369,
34769,-0.361,367,
34779,-0.361,366,
34789,-0.362,366,
34799,-0.362,369,
34809,-0.362,372,
34819,-0.362,366,
34829,-0.362,372,
34839,-0.362,372,
34849,-0.362,367,
34859,-0.362,371,
34869,-0.362,367,
34879,-0.362,369,
34889,-0.362,366,
34899,-0.362,366,
34909,-0.362,376,
34919,-0.362,365,
34929,-0.362,371,
34939,-0.362,370,
34949,-0.362,367,
34959,-0.362,376,
34969,-0.362,367,
34979,-0.362,370,
34989,-0.362,367,
34999,-0.362,368,
35009,-0.362,370,
35019,-0.362,368,
35029,-0.362,373,
35039,-0.362,373,
35049,-0.362,368,
35059,-0.362,374,
35069,-0.362,372,
35079,-0.362,369,
35089,-0.362,371,
35099,-0.362,369,
35109,-0.362,373,
35119,-0.362,369,
35129,-0.362,370,
35139,-0.362,375,
35149,-0.362,370,
35159,-0.362,370,
35169,-0.362,373,
35179,-0.362,375,
35189,-0.362,376,
35199,-0.362,369,
35209,-0.362,374,
35219,-0.362,368,
35229,-0.362,372,
35239,-0.362,378,
35249,-0.362,373,
35259,-0.362,374,
35269,-0.362,369,
35279,-0.362,377,
35289,-0.362,370,
35299,-0.362,377,
35309,-0.362,370,
35319,-0.362,372,
35329,-0.362,375,
35339,-0.362,374,
35349,-0.362,372,
35359,-0.362,375,
35369,-0.362,376,
35379,-0.362,372,
35389,-0.362,371,
35399,-0.362,376,
35409,-0.362,371,
35419,-0.362,371,
35429,-0.362,372,
35439,-0.362,380,
35449,-0.362,373,
35459,-0.362,374,
35469,-0.362,377,
35479,-0.362,378,
35489,-0.362,375,
35499,-0.362,370,
35509,-0.362,377,
35519,-0.362,378,
35529,-0.362,376,
35539,-0.362,378,
35549,-0.361,373,
35559,-0.362,377,
35569,-0.362,377,
35579,-0.362,376,
35589,-0.362,382,
35599,-0.362,373,
35609,-0.362,380,
35619,-0.362,380,
35629,-0.362,375,
35639,-0.362,381,
35649,-0.362,375,
35659,-0.362,381,
35669,-0.362,372,
35679,-0.362,379,
35689,-0.362,383,
35699,-0.362,379,
35709,-0.362,379,
35719,-0.362,379,
35729,-0.362,381,
35739,-0.362,377,
35749,-0.362,381,
35759,-0.362,382,
35769,-0.362,374,
35779,-0.362,379,
35789,-0.362,381,
35799,-0.362,381,
35809,-0.362,380,
35819,-0.362,381,
35829,-0.362,377,
35839,-0.362,380,
35849,-0.362,382,
35859,-0.362,381,
35869,-0.362,377,
35879,-0.362,380,
35889,-0.362,380,
35899,-0.362,380,
35909,-0.362,381,
35919,-0.362,384,
35929,-0.362,379,
35939,-0.362,378,
35949,-0.362,379,
35959,-0.362,380,
35969,-0.362,385,
35979,-0.362,381,
35989,-0.362,380,
35999,-0.362,378,
36009,-0.362,382,
36019,-0.362,380,
36029,-0.362,380,
36039,-0.362,382,
36049,-0.362,383,
36059,-0.362,381,
36069,-0.362,385,
36079,-0.362,382,
36089,-0.362,380,
36099,-0.362,383,
36109,-0.362,379,
36119,-0.362,380,
36129,-0.362,384,
36139,-0.362,383,
36149,-0.362,384,
36159,-0.362,380,
36169,-0.362,388,
36179,-0.362,383,
36189,-0.362,385,
36199,-0.362,386,
36209,-0.362,381,
36219,-0.362,384,
36229,-0.362,382,
36239,-0.361,382,
36249,-0.362,382,
36259,-0.362,384,
36269,-0.362,386,
36279,-0.361,388,
36289,-0.362,389,
36299,-0.362,384,
36309,-0.361,386,
36319,-0.362,386,
36329,-0.362,383,
36339,-0.361,386,
36349,-0.362,384,
36359,-0.362,384,
36369,-0.362,387,
36379,-0.362,384,
36389,-0.362,389,
36399,-0.362,386,
36409,-0.361,386,
36419,-0.362,392,
36429,-0.362,385,
36439,-0.362,387,
36449,-0.362,382,
36459,-0.362,384,
36469,-0.362,387,
36479,-0.362,387,
36489,-0.362,388,
36499,-0.362,388,
36509,-0.362,388,
36519,-0.362,389,
36529,-0.362,390,
36539,-0.361,386,
36549,-0.362,387,
36559,-0.362,385,
36569,-0.362,391,
36579,-0.362,391,
36589,-0.362,390,
36599,-0.362,389,
36609,-0.362,387,
36619,-0.362,390,
36629,-0.362,386,
36639,-0.362,386,
36649,-0.362,388,
36659,-0.362,388,
36669,-0.362,382,
36679,-0.361,389,
36689,-0.362,386,
36699,-0.362,390,
36709,-0.361,389,
36719,-0.362,388,
36729,-0.362,389,
36739,-0.362,384,
36749,-0.362,393,
36759,-0.362,387,
36769,-0.362,386,
36779,-0.362,387,
36789,-0.362,387,
36799,-0.362,389,
36809,-0.362,389,
36819,-0.362,394,
36829,-0.362,388,
36839,-0.362,391,
36849,-0.362,393,
36859,-0.362,393,
36869,-0.362,384,
36879,-0.362,389,
36889,-0.362,386,
36899,-0.362,392,
36909,-0.362,388,
36919,-0.362,389,
36929,-0.362,389,
36939,-0.362,390,
36949,-0.362,396,
36959,-0.362,388,
36969,-0.362,394,
36979,-0.362,392,
36989,-0.362,393,
36999,-0.362,390,
37009,-0.362,389,
37019,-0.362,393,
